timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734358785136,183,Checkout/actions/Order.action-122,200,,Carga Compra 1-197,text,true,,4239,860,136,136,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,183,0,0
1734358784585,736,Carga/actions/Catalog.action-97,200,,Carga Compra 1-316,text,true,,5664,789,136,136,https://petstore.octoperf.com/actions/Catalog.action,736,0,554
1734358785137,185,Checkout/actions/Order.action-122,200,,Carga Compra 1-201,text,true,,4239,860,137,137,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,185,0,0
1734358784624,717,Carga/actions/Catalog.action-97,200,,Carga Compra 1-317,text,true,,5664,789,137,137,https://petstore.octoperf.com/actions/Catalog.action,716,0,537
1734358785322,37,Carga/generate_204-96,204,No Content,Carga Compra 1-332,,true,,127,310,137,137,http://www.gstatic.com/generate_204,0,0,18
1734358785187,177,Carga/images/birds_icon.gif-106,200,,Carga Compra 1-276,bin,true,,765,690,137,137,https://petstore.octoperf.com/images/birds_icon.gif,177,0,0
1734358785187,177,Carga/images/birds_icon.gif-106,200,,Carga Compra 1-275,bin,true,,765,690,137,137,https://petstore.octoperf.com/images/birds_icon.gif,177,0,0
1734358785187,177,Carga/images/separator.gif-99,200,,Carga Compra 1-310,bin,true,,338,689,137,137,https://petstore.octoperf.com/images/separator.gif,177,0,0
1734358785189,178,Carga/images/birds_icon.gif-106,200,,Carga Compra 1-274,bin,true,,765,690,137,137,https://petstore.octoperf.com/images/birds_icon.gif,178,0,0
1734358785189,178,Carga/images/logo-topbar.svg-110,200,,Carga Compra 1-248,text,true,,16590,691,137,137,https://petstore.octoperf.com/images/logo-topbar.svg,178,0,0
1734358785189,178,Carga/css/jpetstore.css-98,200,,Carga Compra 1-305,text,true,,6268,640,137,137,https://petstore.octoperf.com/css/jpetstore.css,178,0,0
1734358785189,178,Carga/css/jpetstore.css-98,200,,Carga Compra 1-306,text,true,,6268,640,137,137,https://petstore.octoperf.com/css/jpetstore.css,178,0,0
1734358785191,180,Carga/images/logo-topbar.svg-110,200,,Carga Compra 1-252,text,true,,16590,691,137,137,https://petstore.octoperf.com/images/logo-topbar.svg,180,0,0
1734358785191,180,Carga/images/reptiles_icon.gif-103,200,,Carga Compra 1-302,bin,true,,963,693,137,137,https://petstore.octoperf.com/images/reptiles_icon.gif,180,0,0
1734358785010,361,Carga/images/splash.gif-101,200,,Carga Compra 1-289,bin,true,,36395,686,137,137,https://petstore.octoperf.com/images/splash.gif,181,0,0
1734358785191,180,Carga/css/jpetstore.css-98,200,,Carga Compra 1-303,text,true,,6268,640,137,137,https://petstore.octoperf.com/css/jpetstore.css,180,0,0
1734358785192,180,Carga/images/birds_icon.gif-106,200,,Carga Compra 1-271,bin,true,,765,690,138,138,https://petstore.octoperf.com/images/birds_icon.gif,180,0,0
1734358785192,180,Carga/images/birds_icon.gif-106,200,,Carga Compra 1-272,bin,true,,765,690,138,138,https://petstore.octoperf.com/images/birds_icon.gif,180,0,0
1734358785192,182,Carga/images/birds_icon.gif-106,200,,Carga Compra 1-268,bin,true,,765,690,138,138,https://petstore.octoperf.com/images/birds_icon.gif,182,0,0
1734358785010,364,Carga/images/splash.gif-101,200,,Carga Compra 1-290,bin,true,,36395,686,138,138,https://petstore.octoperf.com/images/splash.gif,185,0,0
1734358785192,182,Carga/css/jpetstore.css-98,200,,Carga Compra 1-304,text,true,,6268,640,138,138,https://petstore.octoperf.com/css/jpetstore.css,182,0,0
1734358785197,178,Carga/images/separator.gif-99,200,,Carga Compra 1-308,bin,true,,338,689,138,138,https://petstore.octoperf.com/images/separator.gif,178,0,0
1734358785197,178,Carga/images/birds_icon.gif-106,200,,Carga Compra 1-269,bin,true,,765,690,138,138,https://petstore.octoperf.com/images/birds_icon.gif,178,0,0
1734358785192,183,Carga/images/separator.gif-99,200,,Carga Compra 1-309,bin,true,,338,689,138,138,https://petstore.octoperf.com/images/separator.gif,183,0,0
1734358785196,183,Carga/images/cart.gif-111,200,,Carga Compra 1-254,bin,true,,1956,684,138,138,https://petstore.octoperf.com/images/cart.gif,183,0,0
1734358785010,369,Carga/images/splash.gif-101,200,,Carga Compra 1-284,bin,true,,36395,686,138,138,https://petstore.octoperf.com/images/splash.gif,185,0,0
1734358785196,183,Carga/images/cart.gif-111,200,,Carga Compra 1-255,bin,true,,1956,684,138,138,https://petstore.octoperf.com/images/cart.gif,183,0,0
1734358785196,183,Carga/images/sm_cats.gif-102,200,,Carga Compra 1-297,bin,true,,583,687,138,138,https://petstore.octoperf.com/images/sm_cats.gif,183,0,0
1734358785200,179,Carga/images/birds_icon.gif-106,200,,Carga Compra 1-270,bin,true,,765,690,138,138,https://petstore.octoperf.com/images/birds_icon.gif,179,0,0
1734358785197,182,Carga/images/cart.gif-111,200,,Carga Compra 1-253,bin,true,,1956,684,138,138,https://petstore.octoperf.com/images/cart.gif,182,0,0
1734358785200,179,Carga/images/birds_icon.gif-106,200,,Carga Compra 1-264,bin,true,,765,690,138,138,https://petstore.octoperf.com/images/birds_icon.gif,179,0,0
1734358785197,182,Carga/images/cart.gif-111,200,,Carga Compra 1-251,bin,true,,1956,684,138,138,https://petstore.octoperf.com/images/cart.gif,182,0,0
